Participant,Area,Contrast,SizeType,Slope,Offset
LNCL,V1,Mid,polar,-0.53366,13.754
LNCL,V1,Mid,average,0.060116,8.8802
LNCL,V1,Mid,original_paper,-0.53366,13.754
LNCL,V1,High,radial,0.63459,5.5547
LNCL,V1,High,polar,-0.27584,13.59
LNCL,V1,High,average,0.17938,9.5724
LNCL,V1,High,original_paper,-0.27584,13.59
LNCL,V2,Low,radial,0.30649,7.3097
LNCL,V2,Low,polar,-0.2201,21.703
LNCL,V2,Low,average,0.043194,14.506
LNCL,V2,Low,original_paper,-0.2201,21.703
LNCL,V2,Mid,radial,0.62544,4.8789
LNCL,V2,Mid,polar,-0.070472,13.764
LNCL,V2,Mid,average,0.27748,9.3216
LNCL,V2,Mid,original_paper,-0.070472,13.764
LNCL,V2,High,radial,0.57955,5.8944
LNCL,V2,High,polar,-0.059504,13.777
LNCL,V2,High,average,0.26002,9.8357
LNCL,V2,High,original_paper,-0.059504,13.777
LNCL,V3,Low,radial,0.90715,5.6964
LNCL,V3,Low,polar,0.63164,12.44
LNCL,V3,Low,average,0.7694,9.0682
LNCL,V3,Low,original_paper,0.63164,12.44
LNCL,V3,Mid,radial,0.89143,4.1156
LNCL,V3,Mid,polar,0.73374,7.6634
LNCL,V3,Mid,average,0.81258,5.8895
LNCL,V3,Mid,original_paper,0.73374,7.6634
LNCL,V3,High,radial,0.90762,5.6892
LNCL,V3,High,polar,0.70603,9.5003
LNCL,V3,High,average,0.80682,7.5947
LNCL,V3,High,original_paper,0.70603,9.5003
JNAM,V1,Low,radial,0.60264,1.0104
JNAM,V1,Low,polar,0.16203,5.5223
JNAM,V1,Low,average,0.38234,3.2664
JNAM,V1,Low,original_paper,0.16203,5.5223
JNAM,V1,Mid,radial,0.60373,1.1875
JNAM,V1,Mid,polar,0.10521,3.8844
JNAM,V1,Mid,average,0.35447,2.536
JNAM,V1,Mid,original_paper,0.10521,3.8844
JNAM,V1,High,radial,0.52797,2.0539
JNAM,V1,High,polar,0.21532,6.1047
JNAM,V1,High,average,0.37164,4.0793
JNAM,V1,High,original_paper,0.21532,6.1047
JNAM,V2,Low,radial,0.60686,2.2337
JNAM,V2,Low,polar,0.14469,6.257
JNAM,V2,Low,average,0.37578,4.2453
JNAM,V2,Low,original_paper,0.14469,6.257
JNAM,V2,Mid,radial,0.974,0.71972
JNAM,V2,Mid,polar,0.57321,3.3405
JNAM,V2,Mid,average,0.7736,2.0301
JNAM,V2,Mid,original_paper,0.57321,3.3405
JNAM,V2,High,radial,0.50643,3.7124
JNAM,V2,High,polar,0.19507,7.2467
JNAM,V2,High,average,0.35075,5.4796
JNAM,V2,High,original_paper,0.19507,7.2467
JNAM,V3,Low,radial,0.78601,2.9877
JNAM,V3,Low,polar,0.48997,5.3939
JNAM,V3,Low,average,0.63799,4.1908
JNAM,V3,Low,original_paper,0.48997,5.3939
JNAM,V3,Mid,radial,0.96873,3.4167
JNAM,V3,Mid,polar,0.60335,3.4054
JNAM,V3,Mid,average,0.78604,3.411
JNAM,V3,Mid,original_paper,0.60335,3.4054
JNAM,V3,High,radial,0.57406,5.4881
JNAM,V3,High,polar,0.46432,5.7534
JNAM,V3,High,average,0.51919,5.6208
JNAM,V3,High,original_paper,0.46432,5.7534
LRFA,V1,Low,radial,0.52537,1.1881
LRFA,V1,Low,polar,0.29898,5.1169
LRFA,V1,Low,average,0.41217,3.1525
LRFA,V1,Low,original_paper,0.29898,5.1169
LRFA,V1,Mid,radial,0.72272,-0.51032
LRFA,V1,Mid,polar,0.22937,5.6099
LRFA,V1,Mid,average,0.47605,2.5498
LRFA,V1,Mid,original_paper,0.22937,5.6099
LRFA,V1,High,radial,0.62428,-0.39037
LRFA,V1,High,polar,0.19763,8.0921
LRFA,V1,High,average,0.41096,3.8509
LRFA,V1,High,original_paper,0.19763,8.0921
LRFA,V2,Low,radial,0.51305,2.7909
LRFA,V2,Low,polar,0.55879,3.8179
LRFA,V2,Low,average,0.53592,3.3044
LRFA,V2,Low,original_paper,0.55879,3.8179
LRFA,V2,Mid,radial,0.82357,1.2545
LRFA,V2,Mid,polar,0.40339,3.3229
LRFA,V2,Mid,average,0.61348,2.2887
LRFA,V2,Mid,original_paper,0.40339,3.3229
